idx,wt_true_um,lt_true_um,wt_pred_um__wtlt_big_pinn,lt_pred_um__wtlt_big_pinn,wt_abs_err_um__wtlt_big_pinn,lt_abs_err_um__wtlt_big_pinn,wt_pct_err__wtlt_big_pinn,lt_pct_err__wtlt_big_pinn,wt_pred_um__wtlt_big_data,lt_pred_um__wtlt_big_data,wt_abs_err_um__wtlt_big_data,lt_abs_err_um__wtlt_big_data,wt_pct_err__wtlt_big_data,lt_pct_err__wtlt_big_data,wt_pred_um__wtlt_small_pinn,lt_pred_um__wtlt_small_pinn,wt_abs_err_um__wtlt_small_pinn,lt_abs_err_um__wtlt_small_pinn,wt_pct_err__wtlt_small_pinn,lt_pct_err__wtlt_small_pinn,wt_pred_um__wtlt_small_data,lt_pred_um__wtlt_small_data,wt_abs_err_um__wtlt_small_data,lt_abs_err_um__wtlt_small_data,wt_pct_err__wtlt_small_data,lt_pct_err__wtlt_small_data
146,12.0,900.0,13.805855,971.33496,1.8058548,71.33496,15.04879,7.9261065,13.678798,970.6033,1.6787977,70.60327,13.989981,7.844808,10.046355,755.2416,1.9536448,144.75842,16.280373,16.084269,10.02792,757.3137,1.9720802,142.68628,16.434002,15.854031
147,12.0,950.0,13.478506,981.2806,1.4785061,31.280579,12.320885,3.2926924,13.336099,980.57263,1.3360987,30.572632,11.134156,3.2181718,9.275857,754.7831,2.724143,195.21692,22.70119,20.54915,9.279134,756.4733,2.7208662,193.52667,22.673885,20.37123
148,12.0,1000.00006,13.040673,985.5219,1.0406733,14.478149,8.6722765,1.447815,12.966869,984.65186,0.96686935,15.348206,8.057245,1.5348204,8.592844,753.70105,3.407156,246.29901,28.392967,24.6299,8.616966,754.87933,3.3830338,245.12073,28.191948,24.512072
149,13.0,200.0,7.124393,128.35428,5.875607,71.64572,45.196976,35.82286,8.712037,152.59468,4.287963,47.40532,32.984333,23.70266,13.375195,206.05289,0.37519455,6.052887,2.8861117,3.0264435,13.352521,204.83113,0.35252094,4.831131,2.7116995,2.4155655
150,13.0,250.00002,5.1886864,136.94298,7.8113136,113.05704,60.087025,45.222813,5.0209193,110.003685,7.9790807,139.99634,61.377544,55.998535,12.689339,226.00478,0.31066132,23.99524,2.3897023,9.598095,12.659893,229.45653,0.34010696,20.543488,2.6162076,8.217394
151,13.0,300.0,5.063756,126.24123,7.936244,173.75877,61.04803,57.91959,5.0276775,111.33833,7.9723225,188.66167,61.325558,62.887222,13.113964,273.2916,0.11396408,26.708405,0.87664676,8.9028015,13.088775,278.22562,0.08877468,21.774384,0.6828822,7.2581277
152,13.0,350.00003,5.030503,120.90801,7.969497,229.09201,61.303825,65.45485,5.0250773,112.41658,7.9749227,237.58345,61.34556,67.88098,13.613648,336.97104,0.6136484,13.028992,4.720372,3.7225685,13.579122,339.31763,0.5791216,10.682404,4.4547815,3.052115
153,13.0,400.0,5.028138,119.62546,7.971862,280.37454,61.322014,70.093636,5.01961,112.703026,7.98039,287.29697,61.387615,71.82424,14.02375,412.70078,1.0237503,12.700775,7.8750024,3.1751938,13.987282,410.8785,0.9872818,10.8785095,7.5944753,2.7196274
154,13.0,450.0,5.044352,122.87479,7.955648,327.1252,61.197292,72.69449,5.029842,116.2766,7.970158,333.7234,61.308907,74.16075,14.281625,489.72772,1.2816248,39.727722,9.858652,8.8283825,14.257332,485.3048,1.2573318,35.30481,9.671783,7.8455133
155,13.0,500.00003,5.6439543,206.40024,7.3560457,293.5998,56.584965,58.719955,5.694841,207.4492,7.305159,292.55084,56.19353,58.510166,14.385136,558.15356,1.3851357,58.153534,10.65489,11.630706,14.378987,553.66144,1.3789873,53.661407,10.607595,10.732281
