idx,wt_true_um,lt_true_um,wt_pred_um__wtlt_big_泛化_test_2,lt_pred_um__wtlt_big_泛化_test_2,wt_abs_err_um__wtlt_big_泛化_test_2,lt_abs_err_um__wtlt_big_泛化_test_2,wt_pct_err__wtlt_big_泛化_test_2,lt_pct_err__wtlt_big_泛化_test_2,wt_pred_um__wtlt_big_泛化_test_data,lt_pred_um__wtlt_big_泛化_test_data,wt_abs_err_um__wtlt_big_泛化_test_data,lt_abs_err_um__wtlt_big_泛化_test_data,wt_pct_err__wtlt_big_泛化_test_data,lt_pct_err__wtlt_big_泛化_test_data
878,7.2857146,751.1866,14.752534,1014.6591,7.4668193,263.47253,102.48575,35.07418,15.227261,1004.3363,7.941546,253.14972,109.0016,33.699978
879,7.2857146,767.79645,14.650958,1020.6009,7.3652434,252.80444,101.091576,32.925972,15.134546,1012.45715,7.8488317,244.6607,107.72905,31.865307
880,7.2857146,784.407,14.54104,1026.8683,7.255326,242.4613,99.5829,30.910141,15.029613,1020.30994,7.743898,235.90295,106.28879,30.07405
881,7.2857146,801.0169,14.427447,1033.3885,7.1417327,232.37164,98.02378,29.00958,14.913935,1028.0759,7.62822,227.05902,104.70106,28.346344
882,7.2857146,817.62726,14.311957,1039.9739,7.0262427,222.34662,96.43862,27.19413,14.784297,1035.6838,7.4985824,218.05658,102.921715,26.669437
883,7.2857146,834.2371,14.193991,1046.3912,6.908276,212.15411,94.819466,25.430912,14.635956,1042.9213,7.350241,208.68414,100.88565,25.014967
884,7.2857146,850.84753,14.072086,1052.3868,6.7863717,201.5393,93.14628,23.68689,14.466641,1049.5228,7.180927,198.6753,98.56174,23.350283
885,7.2857146,867.45776,13.944781,1057.7035,6.6590667,190.24573,91.39895,21.931412,14.279635,1055.2485,6.993921,187.79077,95.99499,21.648405
886,7.2857146,884.068,13.811126,1062.1252,6.525411,178.05725,89.56446,20.140673,14.083341,1059.9471,6.797626,175.87915,93.30075,19.894302
887,7.2857146,900.678,13.671544,1065.5432,6.3858294,164.86523,87.648636,18.30457,13.887112,1063.6041,6.601397,162.92615,90.60741,18.089277
888,7.2857146,917.28815,13.5283,1067.9844,6.2425857,150.69623,85.68255,16.42845,13.696464,1066.2721,6.410749,148.98395,87.99066,16.241783
889,7.2857146,933.89813,13.384252,1069.6178,6.098537,135.71967,83.70541,14.5325985,13.511287,1067.9991,6.225572,134.10101,85.44902,14.359276
890,7.2857146,950.5084,13.240595,1070.675,5.95488,120.166626,81.73364,12.642352,13.327704,1068.7802,6.04199,118.27173,82.92927,12.442996
891,7.2857146,967.11847,13.095295,1071.338,5.8095803,104.21954,79.739334,10.776296,13.141095,1068.6018,5.8553805,101.48334,80.367966,10.493372
892,7.2857146,983.7288,12.943285,1071.6798,5.6575704,87.95099,77.65292,8.940573,12.948224,1067.4799,5.6625094,83.75104,77.72071,8.513631
893,7.2857146,1000.3392,12.777568,1071.6553,5.491853,71.3161,75.37838,7.1291924,12.748015,1065.4772,5.462301,65.138,74.972755,6.5115914
894,7.2857146,1016.9492,12.590932,1071.1112,5.3052173,54.161987,72.8167,5.325928,12.541312,1062.6957,5.2555976,45.74646,72.13565,4.4984016
895,7.2857146,1033.5594,12.37786,1069.8157,5.0921454,36.256226,69.89219,3.5078995,12.32983,1059.1974,5.0441155,25.63794,69.232956,2.4805481
896,7.2857146,1050.1697,12.137132,1067.5007,4.851417,17.331055,66.58807,1.6503099,12.114573,1054.9412,4.828858,4.7714844,66.27844,0.4543537
897,7.2857146,1066.7797,11.8731,1063.8445,4.5873857,2.9351807,62.96411,0.27514404,11.893587,1049.6305,4.6078725,17.14917,63.245308,1.6075644
898,7.2857146,1083.3899,11.592565,1058.3038,4.30685,25.08606,59.11362,2.3155155,11.660536,1042.5265,4.374821,40.863403,60.04656,3.7718096
899,7.2857146,1100.0001,11.297374,1049.8683,4.011659,50.131836,55.061985,4.557439,11.4065275,1032.5192,4.120813,67.48096,56.560177,6.1346316
900,7.5918374,120.00001,4.914536,123.87181,2.6773014,3.8718033,35.265526,3.2265027,7.1087,113.35079,0.4831376,6.6492157,6.363909,5.541013
901,7.5918374,136.61017,0.98892784,61.284832,6.6029096,75.32533,86.9738,55.138893,1.2250718,54.24788,6.3667655,82.36229,83.8633,60.290016
902,7.5918374,153.22034,0.9331885,59.886387,6.658649,93.333954,87.708,60.914864,1.1815811,46.07665,6.4102564,107.14369,84.436165,69.92786
903,7.5918374,169.8305,0.8944822,60.300903,6.6973553,109.5296,88.21784,64.49348,1.1494985,45.371155,6.442339,124.45935,84.85876,73.28445
904,7.5918374,186.44069,0.85996455,60.111256,6.731873,126.32944,88.672516,67.758514,1.1058037,45.682983,6.4860334,140.7577,85.4343,75.497314
905,7.5918374,203.05087,0.8339344,59.778484,6.757903,143.27238,89.01538,70.559845,1.0665476,46.307835,6.5252895,156.74304,85.951385,77.19398
906,7.5918374,219.66103,0.81465244,59.522575,6.777185,160.13846,89.26936,72.902534,1.0420573,46.832344,6.54978,172.82867,86.27397,78.67972
907,7.5918374,236.27116,0.7983467,59.36175,6.793491,176.90941,89.484146,74.87558,1.0274906,47.25821,6.564347,189.01295,86.46585,79.998314
908,7.5918374,252.88133,0.782399,59.284103,6.809438,193.59723,89.69421,76.55655,1.017827,47.642273,6.5740104,205.23906,86.59314,81.160225
909,7.5918374,269.49158,0.7658064,59.279186,6.826031,210.21239,89.912766,78.00333,1.0104672,48.015064,6.5813704,221.47652,86.69009,82.18309
910,7.5918374,286.10168,0.74896455,59.334953,6.8428726,226.76672,90.134605,79.26089,1.0041564,48.396175,6.587681,237.7055,86.77321,83.084274
911,7.5918374,302.71188,0.73302794,59.43942,6.8588095,243.27246,90.34453,80.36436,0.9982565,48.804214,6.5935807,253.90767,86.85092,83.87767
912,7.5918374,319.32202,0.71901935,59.59363,6.872818,259.7284,90.529045,81.33745,0.9925074,49.250477,6.59933,270.07153,86.92665,84.576546
913,7.5918374,335.9322,0.70734113,59.81863,6.884496,276.11356,90.68287,82.193245,0.98654324,49.69692,6.605294,286.23526,87.00521,85.20626
914,7.5918374,352.54242,0.69803315,60.14813,6.893804,292.3943,90.80547,82.93875,0.97717565,49.953674,6.6146617,302.58875,87.1286,85.83045
915,7.5918374,369.1526,0.6911089,60.615948,6.9007287,308.53665,90.89669,83.579704,0.96012205,49.710712,6.6317153,319.44186,87.353226,86.53383
916,7.5918374,385.7628,0.68602604,61.2834,6.9058113,324.47937,90.96364,84.11371,0.938728,49.054596,6.6531096,336.7082,87.63504,87.283745
917,7.5918374,402.37292,0.681834,62.29572,6.9100037,340.0772,91.01885,84.517914,0.9167347,48.509697,6.6751027,353.86322,87.92473,87.94409
918,7.5918374,418.983,0.6821853,64.23811,6.909652,354.74487,91.01423,84.66808,0.89522743,48.567432,6.69661,370.41556,88.20802,88.40826
919,7.5918374,435.5932,0.68680584,66.074005,6.9050317,369.5192,90.95337,84.83126,0.8769325,49.4667,6.714905,386.1265,88.449005,88.64383
